t,s,l,time,newtime
0,0,0,939,953

0,2,2,961,974

0,3,3,971,984

0,4,4,981,995

0,5,5,991,5

0,6,6,1,12

0,7,7,12,26

0,8,8,26,40

0,9,9,36,50

0,10,10,47,61

0,11,11,58,71

0,12,12,68,82

0,13,13,78,92

0,14,14,89,102

0,15,15,99,114

0,16,16,110,124

0,17,17,120,134

0,18,18,131,145

0,19,19,141,155

0,20,20,152,166

0,21,21,162,176

0,22,22,173,187

0,23,23,183,197

0,24,24,194,208

0,25,25,204,218

0,26,26,215,228

0,27,27,225,239

0,28,28,235,249

0,29,29,246,260

0,30,30,256,270

0,31,31,267,281

0,32,32,278,291

0,33,33,288,302

0,34,34,298,312

0,35,35,309,323

0,36,36,320,333

0,37,37,330,344

0,38,38,340,354

0,39,39,350,363

0,40,40,360,374

0,41,41,370,384

0,42,42,381,395

0,43,43,391,405

0,44,44,402,416

0,45,45,412,426

0,46,46,422,436

0,47,47,433,447

0,48,48,443,457

0,49,49,453,467

0,50,50,464,477

0,51,51,474,488

0,52,52,484,499

0,53,53,495,509

0,54,54,506,519

0,55,55,516,530

0,56,56,527,541

0,57,57,537,551

0,58,58,548,562

0,59,59,558,572

0,60,60,569,582

0,61,61,579,593

0,62,62,589,603

0,63,63,600,614

0,64,64,610,624

0,65,65,621,635

0,66,66,631,645

0,67,67,641,655

0,68,68,652,665

0,69,69,662,676

0,70,70,672,686

0,71,71,683,696

0,72,72,693,707

0,73,73,704,718

0,74,74,714,728

0,75,75,725,738

0,76,76,735,749

0,77,77,745,764

0,78,78,755,769

0,79,79,765,779

0,80,80,775,789

0,81,81,786,799

0,82,82,796,810

0,83,83,806,820

0,84,84,817,831

0,85,85,827,841

0,86,86,837,851

0,87,87,848,862

0,88,88,858,872

0,89,89,868,882

0,90,90,879,893

0,91,91,889,903

0,92,92,900,913

0,93,93,910,924

0,94,94,920,934

0,95,95,931,944

0,96,96,941,955

0,97,97,951,965

0,98,98,962,976

0,99,99,972,986

0,100,100,983,997

0,101,101,994,8

0,102,102,4,18

0,103,103,15,29

0,104,104,26,42

0,105,105,36,51

0,106,106,46,60

0,107,107,57,71

0,108,108,68,82

0,109,109,78,92

0,110,110,89,103

0,111,111,99,113

0,112,112,110,124

0,113,113,120,134

0,114,114,130,145

0,115,115,141,155

0,116,116,151,166

0,117,117,162,176

0,118,118,172,186

0,119,119,183,197

0,120,120,193,208

0,121,121,204,218

0,122,122,214,228

0,123,123,224,238

0,124,124,234,248

0,125,125,245,259

0,126,126,255,270

0,127,127,266,280

0,128,128,276,290

0,129,129,286,300

0,130,130,296,311

0,131,131,307,321

0,132,132,317,331

0,133,133,327,343

0,134,134,339,353

0,135,135,349,364

0,136,136,360,374

0,137,137,370,385

0,138,138,381,395

0,139,139,391,406

0,140,140,402,416

0,141,141,413,427

0,142,142,423,437

0,143,143,433,448

0,144,144,444,458

0,145,145,454,468

0,146,146,465,480

0,147,147,476,490

0,148,148,486,500

0,149,149,497,511

0,150,150,507,522

0,151,151,518,532

0,152,152,528,542

0,153,153,539,553

0,154,154,549,563

0,155,155,559,574

0,156,156,570,584

0,157,157,581,595

0,158,158,591,605

0,159,159,601,615

0,160,160,612,626

0,161,161,622,636

0,162,162,633,647

0,163,163,643,657

0,164,164,654,668

0,165,165,665,679

0,166,166,675,690

0,167,167,686,700

0,168,168,697,711

0,169,169,707,721

0,170,170,718,732

0,171,171,728,742

0,172,172,739,753

0,173,173,749,763

0,174,174,760,774

0,175,175,770,785

0,176,176,781,795

0,177,177,791,806

0,178,178,801,816

0,179,179,812,826

0,180,180,823,837

0,181,181,833,847

0,182,182,843,858

0,183,183,854,868

0,184,184,864,878

0,185,185,875,889

0,186,186,885,899

0,187,187,895,910

0,188,188,906,920

0,189,189,916,930

0,190,190,927,941

0,191,191,937,951

0,192,192,947,961

0,193,193,958,972

0,194,194,968,983

0,195,195,979,993

0,196,196,989,4

0,197,197,0,14

0,198,198,10,24

0,199,199,21,35

0,200,200,31,45

0,201,201,41,55

0,202,202,51,65

0,203,203,62,76

0,204,204,72,86

0,205,205,83,97

0,206,206,93,107

0,207,207,104,118

0,208,208,114,128

0,209,209,125,139

0,210,210,135,149

0,211,211,146,160

0,212,212,156,170

0,213,213,167,181

0,214,214,177,191

0,215,215,188,202

0,216,216,198,212

0,217,217,208,223

0,218,218,219,233

0,219,219,230,244

0,220,220,240,254

0,221,221,251,265

0,222,222,261,275

0,223,223,271,288

0,224,224,284,298

0,225,225,294,309

0,226,226,305,319

0,227,227,315,330

0,228,228,326,340

0,229,229,337,351

0,230,230,347,361

0,231,231,357,372

0,232,232,368,382

0,233,233,378,392

0,234,234,389,403

0,235,235,399,413

0,236,236,410,424

0,237,237,420,434

0,238,238,431,445

0,239,239,441,455

0,240,240,451,466

0,241,241,462,476

0,242,242,472,486

0,243,243,483,497

0,244,244,493,508

0,245,245,504,518

0,246,246,514,528

0,247,247,524,538

0,248,248,535,549

0,249,249,545,559

0,250,250,555,570

0,251,251,566,580

0,252,252,576,591

0,253,253,587,602

0,254,254,598,612

0,255,255,608,623

0,256,256,619,633

0,257,257,629,643

0,258,258,640,654

0,259,259,650,664

0,260,260,661,675

0,261,261,671,685

0,262,262,681,696

0,263,263,692,706

0,264,264,702,717

0,265,265,713,728

0,266,266,724,738

0,267,267,734,748

0,268,268,745,759

0,269,269,755,769

0,270,270,766,780

0,271,271,776,790

0,272,272,786,801

0,273,273,797,811

0,274,274,807,821

0,275,275,818,832

0,276,276,828,842

0,277,277,839,853

0,278,278,849,863

0,279,279,859,873

0,280,280,870,884

0,281,281,880,894

0,282,282,891,905

0,283,283,901,916

0,284,284,912,926

0,285,285,922,937

0,286,286,933,947

0,287,287,943,958

0,288,288,955,969

0,289,289,966,980

0,290,290,976,991

0,291,291,987,1

0,292,292,998,12

0,293,293,8,22

0,294,294,19,33

0,295,295,30,44

0,296,296,41,54

0,297,297,51,65

0,298,298,61,75

0,299,299,72,86

0,300,300,82,96

0,301,301,93,106

0,302,302,103,117

0,303,303,113,128

0,304,304,124,138

0,305,305,134,149

0,306,306,145,159

0,307,307,155,170

0,308,308,166,180

0,309,309,177,191

0,310,310,187,201

0,311,311,197,212

0,312,312,208,222

0,313,313,218,233

0,314,314,229,243

0,315,315,239,253

0,316,316,250,264

0,317,317,260,274

0,318,318,271,285

0,319,319,281,295

0,320,320,292,306

0,321,321,302,316

0,322,322,313,327

0,323,323,323,337

0,324,324,333,347

0,325,325,344,358

0,326,326,355,369

0,327,327,365,379

0,328,328,376,390

0,329,329,386,400

0,330,330,396,411

0,331,331,407,423

0,332,332,419,433

0,333,333,429,443

0,334,334,440,454

0,335,335,450,464

0,336,336,461,475

0,337,337,471,485

0,338,338,482,496

0,339,339,492,507

0,340,340,502,516

0,341,341,513,528

0,342,342,524,538

0,343,343,534,549

0,344,344,545,559

0,345,345,555,569

0,346,346,566,580

0,347,347,576,590

0,348,348,587,601

0,349,349,597,611

0,350,350,608,622

0,351,351,618,632

0,352,352,629,643

0,353,353,640,654

0,354,354,650,664

0,355,355,661,675

0,356,356,671,685

0,357,357,682,696

0,358,358,692,706

0,359,359,703,717

0,360,360,713,727

0,361,361,724,738

0,362,362,734,748

0,363,363,744,758

0,364,364,755,769

0,365,365,765,779

0,366,366,776,790

0,367,367,786,800

0,368,368,797,811

0,369,369,807,826

0,370,370,817,831

0,371,371,827,841

0,372,372,837,851

0,373,373,848,862

0,374,374,858,872

0,375,375,868,883

0,376,376,879,893

0,377,377,889,904

0,378,378,900,914

0,379,379,911,925

0,380,380,921,935

0,381,381,931,946

0,382,382,942,956

0,383,383,952,966

0,384,384,963,977

0,385,385,973,987

0,386,386,983,998

0,387,387,994,8

0,388,388,4,18

0,389,389,15,29

0,390,390,25,39

0,391,391,35,49

0,392,392,45,59

0,393,393,56,69

0,394,394,66,80

0,395,395,76,91

0,396,396,87,101

0,397,397,98,112

0,398,398,108,123

0,399,399,119,133

0,400,400,129,144

0,401,401,140,154

0,402,402,150,164

0,403,403,161,175

0,404,404,172,186

0,405,405,182,196

0,406,406,193,207

0,407,407,203,217

0,408,408,213,228

0,409,409,224,238

0,410,410,235,249

0,411,411,245,259

0,412,412,255,270

0,413,413,266,280

0,414,414,276,290

0,415,415,287,301

0,416,416,297,311

0,417,417,308,322

0,418,418,318,332

0,419,419,328,343

0,420,420,339,353

0,421,421,349,364

0,422,422,360,374

0,423,423,370,384

0,424,424,381,395

0,425,425,391,405

0,426,426,402,416

0,427,427,412,426

0,428,428,423,437

0,429,429,433,447

0,430,430,444,458

0,431,431,454,468

0,432,432,465,479

0,433,433,475,489

0,434,434,486,500

0,435,435,496,510

0,436,436,506,521

0,437,437,517,531

0,438,438,528,542

0,439,439,538,552

0,440,440,548,563

0,441,441,559,573

0,442,442,570,584

0,443,443,580,594

0,444,444,590,605

0,445,445,601,615

0,446,446,611,626

0,447,447,622,636

0,448,448,632,646

0,449,449,643,657

0,450,450,653,667

0,451,451,664,678

0,452,452,674,688

0,453,453,685,699

0,454,454,695,709

0,455,455,705,720

0,456,456,716,730

0,457,457,726,740

0,458,458,737,751

0,459,459,747,761

0,460,460,758,772

0,461,461,768,782

0,462,462,779,793

0,463,463,789,803

0,464,464,799,813

0,465,465,810,825

0,466,466,821,835

0,467,467,831,846

0,468,468,842,856

0,469,469,852,866

0,470,470,863,877

0,471,471,873,887

0,472,472,884,899

0,473,473,894,908

0,474,474,905,919

0,475,475,915,930

0,476,476,926,940

0,477,477,936,950

0,478,478,947,961

0,479,479,957,971

0,480,480,968,982

0,481,481,978,992

0,482,482,989,3

0,483,483,999,13

0,484,484,10,23

0,485,485,20,34

0,486,486,30,44

0,487,487,41,55

0,488,488,51,65

0,489,489,62,76

0,490,490,72,86

0,491,491,83,97

0,492,492,93,107

0,493,493,104,118

0,494,494,114,129

0,495,495,125,139

0,496,496,135,149

0,497,497,146,159

0,498,498,156,170

0,499,499,166,180

0,500,500,177,191

0,501,501,187,202

0,502,502,198,212

0,503,503,208,222

0,504,504,219,233

0,505,505,229,244

0,506,506,240,254

0,507,507,250,264

0,508,508,261,275

0,509,509,271,285

0,510,510,281,295

0,511,511,292,306

0,512,512,302,316

0,513,513,313,327

0,514,514,323,337

0,515,515,333,347

0,516,516,344,358

0,517,517,354,368

0,518,518,365,379

0,519,519,375,390

0,520,520,386,400

0,521,521,399,414

0,522,522,409,424

0,523,523,420,435

0,524,524,431,445

0,525,525,441,455

0,526,526,452,466

0,527,527,462,476

0,528,528,473,487

0,529,529,483,497

0,530,530,493,508

0,531,531,504,518

0,532,532,514,528

0,533,533,525,539

0,534,534,535,549

0,535,535,546,560

0,536,536,556,570

0,537,537,567,581

0,538,538,577,591

0,539,539,587,602

0,540,540,598,612

0,541,541,609,623

0,542,542,619,633

0,543,543,630,644

0,544,544,640,654

0,545,545,650,665

0,546,546,661,675

0,547,547,671,686

0,548,548,682,696

0,549,549,692,707

0,550,550,703,717

0,551,551,713,727

0,552,552,724,738

0,553,553,734,748

0,554,554,745,759

0,555,555,755,769

0,556,556,765,779

0,557,557,776,790

0,558,558,786,800

0,559,559,797,811

0,560,560,807,821

0,561,561,818,832

0,562,562,828,842

0,563,563,838,852

0,564,564,849,863

0,565,565,859,873

0,566,566,870,884

0,567,567,880,894

0,568,568,891,905

0,569,569,901,915

0,570,570,912,926

0,571,571,922,936

0,572,572,933,947

0,573,573,943,957

0,574,574,953,973

0,575,575,963,977

0,576,576,973,987

0,577,577,983,997

0,578,578,994,8

0,579,579,4,18

0,580,580,15,30

0,581,581,26,40

0,582,582,36,51

0,583,583,47,61

