t,s,l,time,newtime
0,0,0,627,676

0,1,1,644,701

0,2,2,657,701

0,3,3,674,711

0,4,4,689,727

0,5,5,701,760

0,6,6,711,760

0,7,7,727,772

0,8,8,749,784

0,9,9,760,798

0,10,10,771,819

0,11,11,782,822

0,12,12,797,838

0,13,13,812,844

0,14,14,822,859

0,15,15,838,875

0,16,16,857,892

0,17,17,873,907

0,18,18,891,930

0,19,19,905,935

0,20,20,921,956

0,21,21,930,980

0,22,22,954,993

0,23,23,971,996

0,24,24,980,12

0,25,25,992,33

0,26,26,12,57

0,27,27,32,74

0,28,28,49,93

0,29,29,58,93

0,30,30,74,101

0,31,31,93,119

0,32,32,112,138

0,33,33,127,148

0,34,34,138,160

0,35,35,148,193

0,36,36,160,215

0,37,37,174,218

0,38,38,191,226

0,39,39,206,236

0,40,40,215,242

0,41,41,226,261

0,42,42,236,279

0,43,43,253,298

0,44,44,264,301

0,45,45,279,339

0,46,46,298,361

0,47,47,338,363

0,48,48,360,380

0,49,49,378,396

0,50,50,393,413

0,51,51,408,426

0,52,52,423,441

0,53,53,439,463

0,54,54,456,488

0,55,55,471,507

0,56,56,488,523

0,57,57,502,539

0,58,58,518,557

0,59,59,532,570

0,60,60,548,575

0,61,61,557,592

0,62,62,569,609

0,63,63,592,631

0,64,64,609,636

0,65,65,625,649

0,66,66,636,666

0,67,67,649,729

0,68,68,665,903

0,69,69,729,912

0,71,70,766,922

0,72,71,782,928

0,73,72,804,928

0,75,73,831,932

0,76,74,850,951

0,77,75,859,957

0,78,76,877,957

0,80,77,903,962

0,81,78,913,983

0,82,79,922,2

0,83,80,932,2

0,84,81,951,26

0,85,82,962,27

0,86,83,972,39

0,87,84,983,122

0,88,85,1,163

0,89,86,26,163

0,90,87,32,189

0,91,88,48,189

0,92,89,62,190

0,93,90,72,242

0,94,91,121,247

0,95,92,122,252

0,96,93,147,279

0,99,94,189,305

0,105,95,279,322

0,106,96,298,338

0,107,97,312,376

0,108,98,322,385

0,109,99,338,394

0,110,100,359,394

0,111,101,373,418

0,112,102,384,468

0,113,103,394,474

0,114,104,417,533

0,115,105,436,540

0,116,106,450,540

0,117,107,465,572

0,118,108,475,576

0,119,109,496,576

0,120,110,513,580

0,121,111,528,620

0,122,112,540,623

0,123,113,568,654

0,124,114,577,659

0,125,115,589,659

0,126,116,604,663

0,127,117,619,671

0,128,118,636,675

0,129,119,652,696

0,130,120,661,731

0,131,121,672,734

0,132,122,685,804

0,133,123,696,809

0,134,124,715,809

0,135,125,730,822

0,136,126,745,828

0,137,127,760,828

0,138,128,775,832

0,139,129,791,866

0,140,130,804,869

0,141,131,822,38

0,142,132,832,42

0,143,133,854,146

0,144,134,866,152

0,145,135,888,152

0,146,136,901,157

0,147,137,916,157

0,148,138,931,162

0,149,139,947,162

0,150,140,962,168

0,151,141,977,168

0,152,142,994,174

0,153,143,7,174

0,154,144,23,179

0,155,145,37,185

0,156,146,53,185

0,157,147,68,190

0,158,148,84,190

0,159,149,99,194

0,160,150,114,231

0,161,151,129,238

0,162,152,146,238

0,163,153,157,264

0,164,154,168,270

0,165,155,179,270

0,166,156,190,277

0,167,157,207,277

0,168,158,221,283

0,169,159,231,283

0,170,160,251,289

0,171,161,264,307

0,172,162,277,319

0,173,163,289,332

0,174,164,307,351

0,175,165,318,365

0,176,166,331,369

0,177,167,346,382

0,178,168,361,399

0,179,169,376,413

0,180,170,392,474

0,181,171,409,512

0,182,172,424,520

0,183,173,440,520

0,184,174,456,526

0,185,175,472,530

0,186,176,489,530

0,187,177,504,546

0,188,178,519,570

0,189,179,530,573

0,190,180,546,598

0,191,181,565,643

0,192,182,580,647

0,193,183,596,739

0,194,184,611,746

0,195,185,626,746

0,196,186,642,836

0,197,187,658,855

0,198,188,673,855

0,199,189,689,856

0,200,190,705,856

0,201,191,721,856

0,202,192,735,892

0,203,193,746,898

0,204,194,766,898

0,205,195,781,906

0,206,196,798,906
