time	V(After_R1,FBR_Output)*I(R1)	V(after_r1)	V(fbr_output)	V(gpio)	I(D1)	I(R1)	I(R2)	I(R3)	I(R11)
0.000000000000000e+000	2.461600e-049	1.438972e-015	1.438972e-015	3.300000e+000	-2.658278e-026	2.324915e-027	-3.762776e-027	1.438972e-027	9.203437e-012
7.336537250194757e-007	6.423744e-017	-3.277367e-007	-2.065310e-006	3.300000e+000	9.101651e-012	3.696964e-011	-1.800032e-011	-1.896932e-011	9.195430e-012
1.467307450038952e-006	8.145498e-017	-3.505225e-007	-2.307148e-006	3.300000e+000	1.023608e-011	4.163033e-011	-2.024397e-011	-2.138637e-011	9.194204e-012
2.200961175058427e-006	9.188441e-018	-6.835744e-008	-7.255155e-007	3.300000e+000	3.403296e-012	1.398209e-011	-6.730953e-012	-7.251135e-012	9.199759e-012
2.934614900077903e-006	9.934437e-017	5.187585e-007	2.679588e-006	3.300000e+000	-1.139671e-011	-4.597510e-011	2.253873e-011	2.343637e-011	9.212094e-012
3.668268625097379e-006	8.982000e-016	1.410825e-006	7.908163e-006	3.300000e+000	-3.416393e-011	-1.382412e-010	6.756508e-011	7.067615e-011	9.231209e-012
4.401922350116854e-006	3.246403e-015	2.607843e-006	1.496021e-005	3.300000e+000	-6.489838e-011	-2.628163e-010	1.283481e-010	1.344682e-010	9.257106e-012
5.135576075136328e-006	8.278973e-015	4.109811e-006	2.383573e-005	3.300000e+000	-1.036000e-010	-4.197003e-010	2.048878e-010	2.148125e-010	9.289782e-012
5.804270038804124e-006	6.723376e-014	1.073772e-005	6.695148e-005	3.300000e+000	-2.944661e-010	-1.196037e-009	5.823648e-010	6.136727e-010	9.449683e-012
6.240039422441757e-006	3.216628e-013	2.240768e-005	1.453636e-004	3.300000e+000	-6.435443e-010	-2.616083e-009	1.272737e-009	1.343346e-009	9.742073e-012
6.640910966818768e-006	1.375179e-012	4.498895e-005	2.992200e-004	3.300000e+000	-1.329884e-009	-5.409171e-009	2.630110e-009	2.779061e-009	1.031730e-011
6.922549898479322e-006	3.916836e-012	7.478990e-005	5.038485e-004	3.300000e+000	-2.243835e-009	-9.128907e-009	4.437620e-009	4.691287e-009	1.108370e-011
7.190928540774274e-006	1.086972e-011	1.234279e-004	8.381844e-004	3.300000e+000	-3.738054e-009	-1.520758e-008	7.392689e-009	7.814895e-009	1.233632e-011
7.426439946991448e-006	2.668778e-011	1.927483e-004	1.312715e-003	3.300000e+000	-5.858537e-009	-2.382908e-008	1.158622e-008	1.224286e-008	1.411318e-011
7.663528447057288e-006	6.680501e-011	3.057069e-004	2.077665e-003	3.300000e+000	-9.274058e-009	-3.770124e-008	1.834056e-008	1.936068e-008	1.697379e-011
7.928891842345702e-006	1.829069e-010	5.111215e-004	3.443121e-003	3.300000e+000	-1.536015e-008	-6.238298e-008	3.037471e-008	3.200827e-008	2.206719e-011
8.208496106977785e-006	5.049659e-010	8.663497e-004	5.738043e-003	3.300000e+000	-2.555845e-008	-1.036530e-007	5.053527e-008	5.311778e-008	3.059262e-011
8.499077057687545e-006	1.367841e-009	1.473208e-003	9.491220e-003	3.300000e+000	-4.215571e-008	-1.705960e-007	8.333060e-008	8.726539e-008	4.444234e-011
8.804435791948542e-006	3.590619e-009	2.509427e-003	1.550016e-002	3.300000e+000	-6.848066e-008	-2.763985e-007	1.353606e-007	1.410380e-007	6.637765e-011
9.132756773657966e-006	9.040832e-009	4.286203e-003	2.489977e-002	3.300000e+000	-1.090157e-007	-4.385865e-007	2.154949e-007	2.230916e-007	1.000995e-010
9.498607711201068e-006	2.172914e-008	7.376987e-003	3.933430e-002	3.300000e+000	-1.696770e-007	-6.799427e-007	3.353402e-007	3.446025e-007	1.504697e-010
9.929434284514343e-006	5.014590e-008	1.294657e-002	6.149405e-002	3.299999e+000	-2.588512e-007	-1.032925e-006	5.113172e-007	5.216078e-007	2.245460e-010
1.047402370728876e-005	1.121234e-007	2.357570e-002	9.616908e-002	3.299999e+000	-3.885203e-007	-1.544540e-006	7.667054e-007	7.778344e-007	3.330101e-010
1.123771902722846e-005	2.466591e-007	4.611095e-002	1.537817e-001	3.299999e+000	-5.775016e-007	-2.290866e-006	1.137264e-006	1.153602e-006	4.949239e-010
1.252455415827290e-005	5.589932e-007	1.015532e-001	2.636417e-001	3.299998e+000	-8.673260e-007	-3.448692e-006	1.699982e-006	1.748710e-006	7.605854e-010
1.435305997234097e-005	1.074847e-006	2.077284e-001	4.324901e-001	3.299998e+000	-1.188240e-006	-4.782164e-006	2.311059e-006	2.471106e-006	1.107682e-009
1.637144090409926e-005	1.609212e-006	3.525882e-001	6.276027e-001	3.299997e+000	-1.415854e-006	-5.851372e-006	2.729613e-006	3.121758e-006	1.467396e-009
1.877968731210537e-005	2.147406e-006	5.481957e-001	8.658875e-001	3.299996e+000	-1.537442e-006	-6.759401e-006	2.953995e-006	3.805406e-006	1.937130e-009
2.176131217073846e-005	2.947799e-006	7.898878e-001	1.162106e+000	3.299992e+000	-1.266919e-006	-7.919542e-006	2.524760e-006	5.394782e-006	3.499929e-009
2.315447273636513e-005	3.910244e-006	8.686970e-001	1.297394e+000	3.299987e+000	-7.398552e-007	-9.121221e-006	1.628515e-006	7.492706e-006	5.705828e-009
2.476103610188880e-005	6.309648e-006	9.046384e-001	1.449206e+000	3.299980e+000	-1.598889e-007	-1.158654e-005	6.388366e-007	1.094770e-005	9.089184e-009
